EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GripForce,Subject
2,-11,-1,-1,-1,-3,-5,7,2,1
2,14,-2,-1,-2,-1,13,-8,2,1
-6,-22,1,0,0,-1,-14,5,2,1
5,4,-2,-1,-2,-2,-9,-3,2,1
-7,-2,-1,-1,-1,2,-3,-4,2,1
1,9,-2,-2,-2,-3,-10,-2,2,1
-4,-17,-2,-3,-2,-2,6,2,2,1
3,26,2,-1,-1,0,-2,-36,2,1
-5,-12,0,-1,-2,-3,-5,-21,2,1
1,8,-3,1,-1,-1,-9,-10,2,1
-12,-26,-1,0,-2,1,3,-6,2,1
3,-17,-6,-2,-1,0,6,43,2,1
-2,-4,0,-1,0,-1,1,3,2,1
-3,15,1,0,-1,-1,1,-16,2,1
2,14,1,0,-1,-3,-16,-3,2,1
0,-12,-3,-2,-1,0,8,0,2,1
-2,0,0,1,-3,0,4,-3,2,1
0,-12,-1,0,0,-1,4,11,2,1
0,2,-2,0,-2,-5,-15,-2,2,1
-5,3,1,0,-3,-1,16,-4,2,1
1,2,-2,-3,-1,-1,-10,1,2,1
-2,0,0,2,1,1,-5,-3,2,1
3,-5,-3,-3,0,0,8,-1,2,1
-7,1,0,-1,0,-1,-5,1,2,1
0,-2,-2,-2,-1,-3,-17,-2,2,1
-6,-12,-1,-3,-3,-3,-2,-5,2,1
2,29,-1,-1,-1,0,9,7,2,1
-1,-25,1,0,-2,-1,-2,0,2,1
-2,1,1,1,1,0,10,3,2,1
1,1,-2,-2,-1,-4,-33,-7,2,1
-3,-8,-3,-1,-2,-2,6,-1,2,1
4,16,-5,-2,-2,-1,-1,5,2,1
-8,-6,6,2,-1,1,5,17,2,1
5,-10,-2,-2,-2,-1,2,0,2,1
-2,2,-1,-1,-1,0,6,0,2,1
-1,2,-2,0,-1,1,1,-3,2,1
3,3,-2,-2,0,-3,-8,1,2,1
-5,2,1,-1,-2,-1,2,-13,2,1
-2,-9,-2,-2,0,1,4,-2,2,1
-10,-4,-3,-4,-3,-7,-22,-59,2,1
0,19,-3,-2,-1,-1,-5,4,2,1
-9,-1,4,-2,-1,0,-2,-13,2,1
0,-7,1,0,-1,1,13,5,2,1
1,8,-1,0,-2,-3,-17,-1,2,1
4,-7,-2,-1,-1,-2,-8,9,2,1
1,2,0,-1,-1,1,2,4,2,1
-1,7,-2,-1,-2,0,0,-8,2,1
-1,7,-1,-1,0,2,17,8,2,1
-1,-8,2,0,-3,-1,5,-2,2,1
2,6,0,1,-1,0,1,6,2,1
0,-9,-3,-5,0,-1,-7,-2,2,1
-1,1,1,1,1,-1,-2,9,2,1
-3,0,-2,-1,4,4,0,-8,2,1
2,-5,-3,-4,12,-8,4,-4,2,1
-3,4,-2,1,-10,-2,-1,4,2,1
0,-7,-1,-2,-1,-1,2,3,2,1
0,-7,-1,1,-2,-2,1,-6,2,1
-5,1,-1,-5,-3,1,1,3,2,1
0,-2,-3,2,10,-2,-8,2,2,1
1,-1,-2,-4,-3,0,6,-7,2,1
4,32,-1,0,1,-1,12,8,2,1
-5,-46,2,1,-2,-5,-33,-4,2,1
-5,-2,1,-1,-1,1,-7,-8,2,1
-1,0,-6,-3,-5,-3,-1,-27,2,1
5,-15,-4,-5,-2,2,2,10,2,1
-1,-4,-6,-3,-5,0,23,-6,2,1
2,23,1,-1,-1,-4,-15,9,2,1
0,-14,0,2,6,2,3,22,2,1
-1,8,0,-1,-3,-2,-6,-10,2,1
4,-3,0,-1,-4,0,5,12,2,1
-2,-11,0,0,2,1,-4,-4,2,1
-2,12,0,-2,-2,-1,3,4,2,1
-3,-6,0,-2,-2,-2,-10,-7,2,1
-3,6,-1,1,-4,2,1,-2,2,1
0,-3,-2,0,0,-2,10,-5,2,1
1,-1,-1,-3,-3,0,-6,15,2,1
-5,-10,-4,-2,0,-1,0,-14,2,1
3,8,-7,-4,-3,-2,-2,0,2,1
-6,2,-2,-2,-2,0,0,-11,2,1
-8,-7,13,1,-3,-1,-11,10,2,1
-2,-6,-2,1,1,-2,14,4,2,1
4,-4,-2,-1,-1,0,-11,0,2,1
4,3,1,-1,-1,0,6,5,2,1
0,-9,-7,-2,-2,-1,6,0,2,1
-2,5,-1,0,-1,0,2,2,2,1
-4,6,5,1,-1,-3,-5,-9,2,1
0,3,-5,-2,-2,-1,-1,5,2,1
-3,-12,-3,0,2,0,6,-10,2,1
-3,-6,-1,-1,-3,-1,-8,2,2,1
-2,5,-1,0,-1,0,0,-1,2,1
-1,-4,2,-2,0,-1,0,1,2,1
6,8,-2,0,-1,-2,-2,30,2,1
-4,-10,-2,-5,-3,1,2,3,2,1
-3,6,1,-1,1,0,4,4,2,1
-3,-8,-2,-2,-1,-2,-4,-7,2,1
2,0,1,-1,-1,-1,2,-9,2,1
0,0,-1,-1,0,-5,0,-7,2,1
-3,0,-2,1,0,0,-11,-6,2,1
5,1,-2,-1,-1,1,14,5,2,1
-6,-7,-4,-4,-6,-2,10,-13,2,1
-4,6,1,2,3,2,-13,-13,2,1
-5,-8,-6,-5,-3,-2,-5,-10,2,1
9,8,8,3,-1,-5,4,14,2,1
-4,12,-5,-4,0,2,20,-1,2,1
-3,-26,0,-3,-3,1,-25,-9,2,1
-7,4,-1,-1,-1,-2,-9,-12,2,1
-2,-2,-1,-1,-2,-1,4,-1,2,1
4,8,-3,0,-2,-3,-13,0,2,1
2,-9,-1,-2,-2,-1,4,12,2,1
-3,14,2,3,2,2,-2,-6,2,1
-1,-7,-1,-2,0,-1,-11,2,2,1
-1,-3,-3,-1,0,0,0,4,2,1
-3,-4,-2,-2,-1,-3,-7,-16,2,1
4,-13,-2,-1,1,2,24,14,2,1
-13,-6,-4,-3,-4,-5,-9,-51,2,1
-1,-7,-1,-1,-1,-3,-4,2,2,1
-4,17,-1,-2,-2,1,4,1,2,1
4,6,2,0,-2,-1,8,4,2,1
0,5,-3,-1,0,1,-3,0,2,1
2,-51,-4,-1,2,0,-8,-4,2,1
-1,20,3,-2,-3,-3,7,3,2,1
-6,-13,-1,0,-2,-4,5,-5,2,1
-4,-3,0,-1,2,3,-8,2,2,1
-5,6,-1,-1,0,-1,4,-11,2,1
3,-4,-4,-3,-1,2,-9,4,2,1
1,-3,-3,-2,-3,-2,3,4,2,1
0,9,2,-1,0,0,3,10,2,1
1,11,1,-1,-2,-2,-5,5,2,1
-4,-9,-2,0,-1,-2,7,-12,2,1
-1,25,-1,-1,-1,0,-7,-15,2,1
